id,state,location,Mobile Orders,Catering,Pickup,Delivery,WiFi,Playground,Breakfast Served,Drive-thru,cost of chicken sandwich
0,al,5 Points In-Line,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4.99
1,al,Airport Blvd (AL),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
2,al,Alabama A&M University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
3,al,Alabama Power,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
4,al,Alabama State University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
5,al,Alabaster,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4.75
6,al,Alexander City [AL],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
7,al,Ann Street,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
8,al,Athens (AL),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
9,al,Auburn In-Line DT,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
10,al,Auburn Mall,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5.09
11,al,Auburn University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
12,al,Auburn University - ARENA Concessions,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
13,al,Auburn University - Village Dining,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
14,al,Bel Air Mall,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5.09
15,al,Birmingham-Shuttlesworth International Airport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
16,al,Cahaba Heights,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
17,al,Calera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
18,al,Cullman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4.75
19,al,Daphne,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
20,al,Dauphin Street,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
21,al,East Dothan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
22,al,EastChase,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
23,al,Eastwood Village,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
24,al,Enterprise (AL),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
25,al,Eufaula [AL],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
26,al,Florence,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
27,al,Foley,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.99
28,al,Fort Payne,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
29,al,Fultondale,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
30,al,Gadsden at 4th Street,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
31,al,Gardendale,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
32,al,Governors Drive,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.79
33,al,Greystone,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
34,al,Guntersville,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4.85
35,al,Hampton Cove In-Line DT,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4.85
36,al,Helena (AL),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
37,al,Hoover Commons,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
38,al,Inverness,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
39,al,Jacksonville [AL],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
40,al,Jacksonville State University,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
41,al,Jasper,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.75
42,al,Leeds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
43,al,Madison (AL),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.99
44,al,McCalla,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
45,al,Midtown Plaza In-Line,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5.09
46,al,Montgomery-Promenade,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4.75
47,al,Muscle Shoals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
48,al,North Prattville,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4.75
49,al,Northport,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
50,al,Oak Mountain,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.75
51,al,Oxford,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
52,al,Oxford Mall,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,5.09
53,al,Parkway East,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
54,al,Parkway Place,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5.09
55,al,Patton Creek,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4.79
56,al,Pell City,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.75
57,al,Phenix City,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
58,al,Prattville,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
59,al,RELO Montgomery-Promenade,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
60,al,Riverchase Galleria,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.09
61,al,Ross Clark Circle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
62,al,RSA Battlehouse,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.09
63,al,RSA Regions Tower,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5.09
64,al,Samford University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
65,al,Schillinger Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
66,al,Scottsboro [AL],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
67,al,South Memorial Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
68,al,Southeast Decatur,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
69,al,Southwest Decatur,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
