id,state,location
2,al,Alabama A&M University
4,al,Alabama State University
5,al,Alabaster
9,al,Auburn In-Line DT
10,al,Auburn Mall
11,al,Auburn University
12,al,Auburn University - ARENA Concessions
13,al,Auburn University - Village Dining
14,al,Bel Air Mall
15,al,Birmingham-Shuttlesworth International Airport
22,al,EastChase
32,al,Governors Drive
35,al,Hampton Cove In-Line DT
37,al,Hoover Commons
38,al,Inverness
40,al,Jacksonville State University
45,al,Midtown Plaza In-Line
49,al,Northport
54,al,Parkway Place
58,al,Prattville
62,al,RSA Battlehouse
63,al,RSA Regions Tower
75,al,Troy University
77,al,Tuscaloosa Drive-Thru Only
78,al,Tuscaloosa South
80,al,University Drive
82,al,University of Alabama
83,al,University of Alabama - Huntsville
85,al,University of Alabama Birmingham Hospital
86,al,University of Alabama-Lloyd Hall
87,al,University of North Alabama
88,al,University of South Alabama
99,az,Arizona State University - Downtown
100,az,Arizona State University - West Campus
103,az,Bethany Home
109,az,Deer Valley
111,az,Flagstaff
113,az,Goodyear
114,az,Grand Canyon University
115,az,Grand Canyon University - Diamondback Apartments
122,az,Northern Arizona University
133,az,Stapley Drive
138,az,University at Mill
141,ar,7th & Broadway
142,ar,Arkansas State University
144,ar,Chenal & Markham
145,ar,Clinton National Airport
146,ar,Conway Commons
148,ar,Harding University
149,ar,Henderson State University
151,ar,Markham & University
153,ar,McCain Boulevard
156,ar,Ouachita Baptist University
159,ar,Razorback Road
164,ar,Southern Arkansas University
169,ar,University of Arkansas-Fayetteville
170,ar,University of Arkansas-Fort Smith
171,ar,University of Central Arkansas
172,ar,Wal-Mart Headquarters
179,ca,17th at Tustin
180,ca,405 & Atlantic LB
181,ca,405 & Avalon
183,ca,605 & Firestone
184,ca,7th & Fig In-Line
185,ca,91 & Orangethorpe
190,ca,Avenue K & 15th St. SW
191,ca,Azusa
193,ca,Beach Boulevard
197,ca,Bristol & MacArthur
198,ca,California Baptist University
199,ca,California Polytechnic State University
204,ca,Cerritos
209,ca,Clairemont
211,ca,Crenshaw & Amsler
214,ca,Day Street
215,ca,Del Amo In-Line
216,ca,Del Rey & Lincoln Drive-Thru Only
219,ca,Devonshire & Reseda
225,ca,El Toro Road
227,ca,Emeryville In-Line
228,ca,Encinitas In-Line DT
230,ca,Escondido
234,ca,First Street
240,ca,Granite Bay
242,ca,Harbor Blvd
244,ca,Hollywood Drive-Thru Only
246,ca,Huntington SW & 210
247,ca,Hwy 125 & Jamacha
249,ca,Hwy 215 & Nuevo Road
250,ca,Hwy 78 & Vista Village
251,ca,Hwy 99 & Yosemite Ave
252,ca,I-10 & Barranca
254,ca,I-10 & Monterey Ave.
255,ca,I-10 & Mountain Ave
256,ca,I-10 & Yucaipa Blvd
257,ca,I-15 at Cantu Galleano Ranch Rd.
260,ca,Imperial & Lakewood
261,ca,La Habra Marketplace
265,ca,Lake & Boylston
267,ca,Lincoln & Pacific Drive-Thru Only
268,ca,Livermore Avenue & 580
271,ca,Los Angeles International Airport
273,ca,Madison Avenue Sacramento
274,ca,Main & Almond
277,ca,Mendocino Avenue
278,ca,Mile of Cars Way
279,ca,Milpitas Town Center
281,ca,Mission Center Road
282,ca,Monterey Park Market Place
283,ca,Monterey Park Market Place
289,ca,North Salinas
293,ca,Ocean View Hills
294,ca,Olive & Alameda In-Line
295,ca,Ontario International Airport - Terminal 4
297,ca,Outlets at San Clemente
300,ca,PCH & Maple
301,ca,Pittsburg In-Line DT
302,ca,Plaza Del Obispo
303,ca,Pleasant Grove
309,ca,Redondo Beach
313,ca,Rohnert Park
314,ca,San Jose International Airport - Terminal B
315,ca,San Marcos
318,ca,Serramonte Center
320,ca,Silver Creek Valley & 101
321,ca,Sorrento Valley
323,ca,Sports Arena
325,ca,Sycamore Square
328,ca,The Americana at Brand In-Line
329,ca,The Brea Plaza In-Line DT
332,ca,The Shops at Santa Anita Mall
333,ca,Topanga & Roscoe
335,ca,UCLA In-Line
336,ca,University Center Irvine
337,ca,USC In-Line
341,ca,Victory & Fallbrook
342,ca,Vincent & Lake
344,ca,Western & Sierra Vista
346,ca,Westlake Village Drive-Thru Only
347,ca,Whipple & 101
350,ca,Whittwood
354,co,120th & Bradburn
367,co,Citadel Crossing
368,co,Colfax & Garfield
369,co,Colorado Mesa University
370,co,Denver International Airport
371,co,Denver West
376,co,Fountain
383,co,Hampden and I-25
388,co,Loveland
393,co,Park Meadows Mall
405,co,Streets at Southglenn In-Line DT
409,ct,Buckland Hills (CT)
413,ct,Mohegan Sun Resort
421,de,Bear
425,de,Concord Mall
427,de,Kirkwood Hwy
431,de,New Castle
432,de,North Dover
437,fl,Addie's Corner
445,fl,Aventura In-Line
447,fl,Bartow
463,fl,Clark Road
471,fl,Cortez Plaza
473,fl,Creekwood
477,fl,Cypress Ranch
483,fl,Delray Beach
484,fl,Destin
485,fl,Doral
487,fl,Eagle Harbor
488,fl,Eastern Florida State College
489,fl,Edgewater
490,fl,Embry Riddle Aeronautical University
497,fl,Florida Gulf Coast University
498,fl,Florida Hotel at the Florida Mall
505,fl,Fourth Street North
506,fl,Fruitville Road
514,fl,Hialeah Westland
518,fl,I-75 & Archer Road Drive-Thru Only
521,fl,Jacksonville University
522,fl,Kendall
527,fl,Lake City
531,fl,Lakewood (FL)
532,fl,Lantana
538,fl,Manatee Ave & 43rd
540,fl,Marianna [FL]
542,fl,Melbourne Square
546,fl,Miami Central
547,fl,Miami Gardens
548,fl,Miami Lakes
550,fl,Millenia
551,fl,Miramar & Flamingo
552,fl,Mitchell Ranch Plaza
565,fl,Northlake Boulevard
567,fl,Oaks Mall
568,fl,Ocala
574,fl,Orlando Int’l Airport – North Terminal/Pre-Sec
575,fl,Orlando International Airport - South Terminal
582,fl,Palm Beach Atlantic University
583,fl,Palm Beach Lakes Blvd.
586,fl,Palmetto Park & I-95
587,fl,Panama City Beach
592,fl,Pensacola International Airport
595,fl,Plant City
604,fl,River Landing In-Line
612,fl,Shands Hospital (Sun Terrace)-Gainesville
618,fl,Southeastern University
622,fl,SR 16 & Inman Road
630,fl,Tampa International Airport-Airside A
631,fl,Tampa International Airport-Main Terminal
633,fl,Temple Terrace
635,fl,The Gardens
640,fl,The Standard In-Line
644,fl,Tuskawilla Road
651,fl,University of Central Florida
652,fl,University of Central Florida - RWC
653,fl,University of Florida
655,fl,University of North Florida
663,fl,Vineland Pointe
666,fl,Wells Road
669,fl,West Boynton Beach
670,fl,West Hillsborough
671,fl,West Tennessee Street
680,ga,Abercorn
682,ga,Akers Mill Drive-Thru Only
686,ga,Americus [GA]
687,ga,Arbor Place
688,ga,AT&T Center
693,ga,Austell Road
694,ga,Avalon
698,ga,Barrett Parkway
701,ga,Berry College
706,ga,Brookhaven In-Line
708,ga,Brunswick (GA)
709,ga,Byron [GA]
710,ga,Calhoun
711,ga,Camp Creek Parkway
713,ga,Carrollton
716,ga,Chamblee Plaza
717,ga,Chastain Road In-Line DT
724,ga,CNN Center
725,ga,College Football Hall of Fame
726,ga,Colony Square
729,ga,Commerce
736,ga,Cumberland Mall
740,ga,Dalton
741,ga,Dalton Mall
743,ga,Delta Air Lines Headquarters
747,ga,Downtown Athens In-Line
748,ga,Downtown Decatur
751,ga,Dwarf House Shipping Container Drive-Thru
752,ga,Eagles Landing
758,ga,Fairburn Road Drive-Thru Only
759,ga,Fayetteville Dwarf House
761,ga,Forest Park Dwarf House
765,ga,Georgia College and State University
767,ga,Georgia Southern University
770,ga,Georgia State University
773,ga,Grady Memorial Hospital
779,ga,Hartsfield-Jackson Atlanta Int'l Airport - Conc A
780,ga,Hartsfield-Jackson Atlanta Int'l Airport - Conc C
781,ga,Hickory Flat
783,ga,Hiram
784,ga,Howell Mill
