id,state,location
0,al,5 Points In-Line
8,al,Athens (AL)
10,al,Auburn Mall
14,al,Bel Air Mall
18,al,Cullman
45,al,Midtown Plaza In-Line
55,al,Patton Creek
63,al,RSA Regions Tower
73,al,TigerTown
134,az,Superstition Springs Center
157,ar,Park Plaza
195,ca,Blackstone
215,ca,Del Amo In-Line
226,ca,Elk Grove Marketplace
248,ca,Hwy 210 & Ayala Drive
294,ca,Olive & Alameda In-Line
310,ca,Redwood City Delivery
321,ca,Sorrento Valley
332,ca,The Shops at Santa Anita Mall
335,ca,UCLA In-Line
339,ca,Valencia Town Center
393,co,Park Meadows Mall
410,ct,Danbury Fair Mall
424,de,Christiana Mall
425,de,Concord Mall
439,fl,Altamonte Mall
445,fl,Aventura In-Line
446,fl,Avenues Mall
451,fl,Bearss Avenue
456,fl,Broward Mall
470,fl,Cordova Mall (Inside)
478,fl,Dadeland Mall
487,fl,Eagle Harbor
498,fl,Florida Hotel at the Florida Mall
508,fl,Governors Square (FL)
519,fl,International Plaza Mall
527,fl,Lake City
542,fl,Melbourne Square
567,fl,Oaks Mall
580,fl,Paddock Mall
590,fl,Pembroke Lakes Mall
604,fl,River Landing In-Line
635,fl,The Gardens
637,fl,The Mall at Millenia
638,fl,The Mall at Wellington Green
640,fl,The Standard In-Line
641,fl,The Villages
642,fl,Town Center at Boca Raton
643,fl,Treasure Coast Square
672,fl,Westfield Brandon
673,fl,Westfield Citrus Park
675,fl,Weston
676,fl,Westshore Plaza
687,ga,Arbor Place
688,ga,AT&T Center
692,ga,Augusta Mall
706,ga,Brookhaven In-Line
741,ga,Dalton Mall
747,ga,Downtown Athens In-Line
750,ga,Dwarf House Chick-fil-A Classics Mt. Berry Square
798,ga,Lake Dow
808,ga,Locust Grove
838,ga,Oglethorpe Mall
842,ga,Peachtree Center
895,ga,Terminus In-Line
899,ga,The Mall at Stonecrest
913,ga,Truett's Chick-fil-A Catering & Delivery - VA Ave
954,il,Addison & Elston (IL) In-Line
964,il,Chicago & Orleans Delivery
988,il,Loyola Water Tower In-Line
991,il,Michigan Avenue (IL) In-Line
992,il,Millennium Park (IL) In-Line
1007,il,State and Lake In-Line
1024,in,Castleton Square
1030,in,Downtown Indy (IN) In-Line
1032,in,Eastland Mall (IN)
1034,in,Glenbrook Square
1037,in,Greenwood Park Mall (IN)
1055,in,Purdue University
