id,state,location
1,al,Airport Blvd (AL)
6,al,Alexander City [AL]
7,al,Ann Street
16,al,Cahaba Heights
17,al,Calera
19,al,Daphne
20,al,Dauphin Street
21,al,East Dothan
23,al,Eastwood Village
24,al,Enterprise (AL)
25,al,Eufaula [AL]
26,al,Florence
28,al,Fort Payne
29,al,Fultondale
30,al,Gadsden at 4th Street
31,al,Gardendale
33,al,Greystone
36,al,Helena (AL)
39,al,Jacksonville [AL]
42,al,Leeds
43,al,Madison (AL)
44,al,McCalla
47,al,Muscle Shoals
51,al,Oxford
53,al,Parkway East
57,al,Phenix City
61,al,Ross Clark Circle
65,al,Schillinger Road
67,al,South Memorial Parkway
68,al,Southeast Decatur
69,al,Southwest Decatur
71,al,Sylacauga [AL]
72,al,The Grove
74,al,Troy (AL)
76,al,Trussville (AL)
89,al,Vestavia Hills
90,al,Whitesburg Drive
91,al,Wildwood Centre
94,az,89th & Shea
95,az,Ahwatukee Foothills Town Center
96,az,Arcadia
97,az,Arizona & Ocotillo
101,az,Arrowhead
102,az,Avondale
104,az,Camelback & 16th Street
105,az,Casa Grande
106,az,Chandler Festival
108,az,Crossroads Towne Center
110,az,El Con
112,az,Gilbert Gateway Towne Center
117,az,I-19 & Irvington
118,az,Ina at Thornydale
119,az,Mesa Riverview
123,az,Oracle Road
124,az,Paradise Valley
126,az,Power & McKellips
127,az,Prescott Valley Crossroads
128,az,Queen Creek
129,az,Raintree Drive & 101
130,az,San Tan Village Marketplace
131,az,Scottsdale 101
132,az,South Mountain
136,az,Tanque Verde
137,az,Thunderbird
140,az,Yuma
143,ar,Cantrell Road
147,ar,Downtown Bentonville
152,ar,Maumelle
154,ar,North College Avenue
155,ar,Otter Creek
158,ar,Pleasant Grove Road
160,ar,Reynolds Road
161,ar,Rogers Avenue
163,ar,Searcy In-Line DT
165,ar,Springdale at Sunset Ave
166,ar,Turtle Creek
173,ar,West Conway
174,ar,West Memphis
176,ar,Whitaker Parkway
177,ca,101 & Telephone
178,ca,101 & Winnetka
182,ca,405 at Jefferson (Los Angeles)
186,ca,Aliso Viejo In-Line DT
187,ca,Arden Fair
188,ca,Auburn Gold Rush
189,ca,Auto Mall Parkway
192,ca,Bakersfield
194,ca,Bear Valley Rd. & Mariposa
196,ca,Blossom Hill & Almaden Expy
201,ca,Carmel Mountain
202,ca,Carson & Vermont
203,ca,Central Ave. & Riverside Plaza
205,ca,Chino Hills
207,ca,Citrus Plaza
208,ca,City of Industry
210,ca,Colonies Crossroads
212,ca,Crenshaw & Redondo Beach Blvd
213,ca,Crossings at South Corona
218,ca,Delta Shores
220,ca,Dexter Avenue
221,ca,Downey
222,ca,E. Colorado Blvd
223,ca,Eastlake Terraces
224,ca,El Camino Real at Scott
231,ca,Fairfield In-Line DT
232,ca,Fashion Fair
235,ca,Folsom
237,ca,Fullerton
